year,total,male,female
  1960,7077190 ,3633812 ,3443378 
  1965,7907113 ,4052583 ,3854530 
  1970,8603165 ,4410996 ,4192169 
  1975,9365972 ,4782387 ,4583585 
  1980,9693907 ,4899368 ,4794539 
  1985,10138642 ,5107555 ,5031087 
  1990,10662148 ,5364342 ,5297806 
  1991,10756829 ,5410665 ,5346164 
  1992,10829320 ,5444568 ,5384752 
  1993,10895987 ,5476547 ,5419440 
  1994,10912924 ,5483699 ,5429225 
  1995,10947119 ,5495292 ,5451827 
  1996,10983326 ,5501084 ,5482242 
  1997,11033993 ,5523195 ,5510798 
  1998,11076817 ,5539960 ,5536857 
  1999,11113128 ,5553233 ,5559895 
  2000,11146203 ,5580916 ,5565287 
  2001,11168526 ,5592762 ,5575764 
  2002 ,11200388 ,5608565 ,5591823 
  2003 ,11215388 ,5613301 ,5602087 
  2004 ,11217590 ,5612160 ,5605430 
  2005 ,11218623 ,5617802 ,5600821 
  2006,11202632 ,5610040 ,5592592 
  2007,11188028 ,5601472 ,5586556 
  2008,11173996 ,5593875 ,5580121 
  2009,11174952 ,5595132 ,5579820 
  2010,11167934 ,5590326 ,5577608 
  2011,11175423 ,5594337 ,5581086 
  2012 ,11173151 ,5572275 ,5600876 
  2013,11210064 ,5589345 ,5620719 
  2014,11238317 ,5601414 ,5636903 
  2015,11239004 ,5600393 ,5638611 
  2016,11239224 ,5598165 ,5641059 
  2017,11221060 ,5584885 ,5636175 
  2018,11209628 ,5575988 ,5633640 
  2019,11193470 ,5564173 ,5629297 
  2020,11181595 ,5554048 ,5627547 
